WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
8,10,90,3,14,45,2,34,,,,,,,,
1,9,57,0,4,44,4,101,,,,,,,,
1,24,98,8,8,44,3,48,,,,,,,,
1,29,138,15,7,71,9,140,,,,,,,,
8,7,158,3,13,48,11,164,,,,,,,,
1,12,84,8,43,288,12,130,,,,,,,,
1,26,105,1,24,259,18,224,,,,,,,,
1,4,31,9,15,56,7,112,,,,,,,,
8,10,168,13,3,25,2,164,,,,,,,,
1,30,89,9,13,54,6,108,,,,,,,,
1,11,56,5,20,85,11,178,,,,,,,,
1,7,58,10,2,53,2,57,,,,,,,,
8,64,885,6,14,81,1,96,,,,,,,,
8,3,53,11,13,105,6,154,,,,,,,,
1,4,37,12,21,78,3,78,,,,,,,,
1,9,98,12,18,100,4,110,,,,,,,,
1,6,50,7,12,60,5,87,,,,,,,,
1,17,99,6,23,108,4,55,,,,,,,,
1,4,76,4,7,49,9,181,,,,,,,,
1,5,33,1,9,57,24,321,,,,,,,,
8,4,108,6,12,79,8,219,,,,,,,,
1,18,233,0,5,47,13,174,,,,,,,,
1,5,30,10,11,44,2,136,,,,,,,,
1,4,37,16,5,100,9,130,,,,,,,,
1,16,77,0,15,57,2,90,,,,,,,,
1,5,30,4,52,185,2,91,,,,,,,,
1,8,35,5,13,59,6,137,,,,,,,,
8,8,150,12,4,39,3,86,,,,,,,,
1,21,93,9,19,159,7,121,,,,,,,,
1,1,75,6,22,110,9,113,,,,,,,,
1,2,23,3,6,67,8,115,,,,,,,,
1,4,55,0,69,146,12,171,,,,,,,,
1,28,131,1,69,135,12,121,,,,,,,,
8,6,121,16,7,43,13,307,,,,,,,,
1,19,77,3,10,80,2,120,,,,,,,,
1,15,134,17,3,34,1,50,,,,,,,,
8,27,186,1,16,71,5,137,,,,,,,,
1,25,93,17,22,121,19,275,,,,,,,,
1,14,74,11,76,283,9,519,,,,,,,,
1,15,93,9,7,63,14,358,,,,,,,,
1,8,65,19,5,38,14,251,,,,,,,,
1,11,57,26,12,72,3,111,,,,,,,,
8,2,95,2,26,137,2,47,,,,,,,,
8,2,33,7,33,126,7,250,,,,,,,,
1,20,96,2,15,90,1,76,,,,,,,,
1,10,87,0,17,130,7,136,,,,,,,,
1,47,188,9,25,85,11,270,,,,,,,,
1,7,87,11,52,206,11,268,,,,,,,,
1,12,62,3,10,60,6,132,,,,,,,,
1,1,68,1,12,80,6,158,,,,,,,,
8,1,65,4,50,134,8,137,,,,,,,,
1,1,17,9,10,92,4,98,,,,,,,,
1,39,28,8,7,70,19,284,,,,,,,,
1,5,27,20,11,85,4,666,,,,,,,,
1,37,83,7,19,74,4,110,,,,,,,,
1,7,119,10,39,151,11,182,,,,,,,,
1,23,127,2,43,111,1,87,,,,,,,,
8,28,351,3,19,123,13,201,,,,,,,,
1,4,51,2,43,149,6,278,,,,,,,,
8,9,142,2,11,56,2,64,,,,,,,,
1,7,52,1,2,28,2,148,,,,,,,,
8,4,193,2,16,89,1,73,,,,,,,,
1,18,91,2,37,117,2,43,,,,,,,,
1,3,41,41,3,24,3,58,,,,,,,,
1,6,38,1,5,78,12,230,,,,,,,,
1,21,114,5,25,84,22,290,,,,,,,,
1,8,48,5,19,91,10,193,,,,,,,,
1,2,33,5,17,89,11,329,,,,,,,,
8,16,254,22,58,197,17,421,,,,,,,,
1,11,67,6,18,75,15,216,,,,,,,,
1,40,123,4,6,61,19,249,,,,,,,,
1,5,72,3,70,178,9,246,,,,,,,,
1,3,48,3,23,106,3,83,,,,,,,,
1,8,41,0,14,65,10,99,,,,,,,,
1,1,24,18,5,72,3,62,,,,,,,,
1,29,218,6,24,101,13,241,,,,,,,,
1,6,46,16,29,86,18,270,,,,,,,,
8,9,142,1,10,66,3,73,,,,,,,,
1,23,70,4,17,108,23,225,,,,,,,,
1,72,192,6,3,38,10,127,,,,,,,,
1,10,50,10,7,44,32,317,,,,,,,,
1,25,111,5,16,71,1,37,,,,,,,,
1,10,72,4,1,30,8,211,,,,,,,,
1,23,79,24,3,35,4,73,,,,,,,,
8,15,221,7,8,56,3,132,,,,,,,,
1,1,47,10,6,99,6,151,,,,,,,,
1,12,55,2,10,84,16,257,,,,,,,,
1,7,62,25,22,115,28,334,,,,,,,,
1,11,64,10,54,157,6,123,,,,,,,,
1,20,103,1,11,88,28,411,,,,,,,,
1,30,145,17,9,70,1,93,,,,,,,,
1,8,35,6,20,231,1,44,,,,,,,,
1,1,93,3,23,115,11,188,,,,,,,,
1,13,77,7,17,126,1,88,,,,,,,,
8,13,219,19,5,26,3,125,,,,,,,,
1,14,86,1,11,67,7,86,,,,,,,,
1,13,80,14,7,42,6,66,,,,,,,,
8,1,148,15,12,67,1,98,,,,,,,,
1,8,120,5,30,113,5,143,,,,,,,,
1,81,284,1,17,64,3,57,,,,,,,,
1,11,63,7,8,37,16,290,,,,,,,,
8,9,80,7,6,28,27,408,,,,,,,,
1,6,59,1,8,63,6,75,,,,,,,,
1,1,44,13,19,90,7,168,,,,,,,,
1,15,92,17,7,163,4,115,,,,,,,,
1,4,78,5,8,84,1,156,,,,,,,,
1,13,45,7,1,17,11,180,,,,,,,,
1,15,81,2,23,96,9,147,,,,,,,,
1,12,58,4,16,62,17,226,,,,,,,,
1,23,101,10,37,116,5,114,,,,,,,,
1,11,71,5,8,39,8,242,,,,,,,,
8,9,130,9,5,102,45,438,,,,,,,,
8,5,110,8,26,199,4,193,,,,,,,,
1,9,56,19,6,39,7,110,,,,,,,,
1,85,208,3,12,45,6,127,,,,,,,,
1,14,101,3,6,41,6,87,,,,,,,,
1,28,88,3,30,94,16,129,,,,,,,,
1,9,80,4,12,63,3,82,,,,,,,,
8,14,314,11,3,29,7,121,,,,,,,,
1,10,71,6,51,137,6,117,,,,,,,,
1,11,55,7,106,372,1,59,,,,,,,,
1,9,42,13,10,64,3,169,,,,,,,,
1,12,71,0,24,25,21,458,,,,,,,,
8,6,122,29,19,77,5,273,,,,,,,,
1,1,63,3,9,49,1,106,,,,,,,,
8,45,438,1,3,28,3,120,,,,,,,,
8,19,214,2,10,70,12,95,,,,,,,,
1,3,24,4,17,85,8,89,,,,,,,,
1,27,78,5,40,135,8,69,,,,,,,,
1,6,53,0,9,55,6,114,,,,,,,,
8,7,103,1,14,131,49,422,,,,,,,,
1,8,43,9,11,47,5,228,,,,,,,,
1,13,86,5,15,76,12,143,,,,,,,,
1,7,67,12,3,53,6,204,,,,,,,,
1,20,118,17,16,80,13,208,,,,,,,,
1,3,30,4,10,66,33,341,,,,,,,,
1,28,122,5,64,176,22,622,,,,,,,,
1,27,76,20,47,124,15,220,,,,,,,,
1,5,25,1,68,189,17,193,,,,,,,,
1,10,62,1,2,30,8,182,,,,,,,,
1,70,220,3,6,51,2,96,,,,,,,,
8,5,82,4,10,49,1,98,,,,,,,,
1,7,48,14,10,54,2,104,,,,,,,,
1,18,90,2,54,165,6,183,,,,,,,,
1,4,23,5,5,42,1,64,,,,,,,,
8,5,95,11,3,21,20,247,,,,,,,,
1,27,115,7,7,39,2,98,,,,,,,,
1,4,23,8,8,30,1,128,,,,,,,,
1,13,76,1,3,39,14,248,,,,,,,,
1,16,63,6,2,27,1,102,,,,,,,,
1,20,113,8,7,52,4,292,,,,,,,,
1,12,97,1,5,71,9,194,,,,,,,,
1,9,73,15,5,29,1,56,,,,,,,,
8,18,234,10,15,73,1,125,,,,,,,,
1,14,98,16,19,64,2,113,,,,,,,,
1,48,135,7,3,48,6,357,,,,,,,,
1,10,56,5,7,49,4,116,,,,,,,,
8,8,175,5,4,37,5,192,,,,,,,,
8,1,29,2,45,182,5,327,,,,,,,,
1,16,57,13,38,111,5,144,,,,,,,,
1,21,77,11,2,27,9,176,,,,,,,,
1,17,135,3,4,29,3,211,,,,,,,,
8,3,145,1,26,81,3,72,,,,,,,,
8,10,262,8,44,176,1,54,,,,,,,,
1,31,122,8,3,49,4,161,,,,,,,,
1,1,18,0,21,137,3,136,,,,,,,,
1,13,75,13,40,151,2,86,,,,,,,,
1,15,67,5,18,62,5,121,,,,,,,,
1,23,93,1,26,102,6,269,,,,,,,,
1,6,47,27,11,51,14,156,,,,,,,,
1,4,55,0,67,176,3,141,,,,,,,,
1,8,60,20,80,254,1,62,,,,,,,,
1,6,32,6,3,54,1,38,,,,,,,,
1,2,33,3,2,29,3,214,,,,,,,,
1,11,67,5,6,50,3,96,,,,,,,,
1,24,286,18,4,32,4,79,,,,,,,,
1,31,78,3,16,99,1,64,,,,,,,,
1,31,115,4,3,33,1,76,,,,,,,,
1,3,48,1,12,65,7,100,,,,,,,,
1,33,138,5,8,81,15,421,,,,,,,,
1,21,79,3,9,119,11,125,,,,,,,,
1,28,82,1,16,81,14,110,,,,,,,,
1,19,97,9,5,78,7,166,,,,,,,,
8,5,157,4,20,94,18,152,,,,,,,,
8,13,196,14,8,81,4,177,,,,,,,,
1,22,106,3,7,49,18,167,,,,,,,,
8,4,95,8,47,111,4,183,,,,,,,,
1,8,61,23,16,90,17,230,,,,,,,,
1,19,101,1,21,93,7,131,,,,,,,,
8,4,174,13,12,57,2,92,,,,,,,,
1,18,132,6,14,39,2,37,,,,,,,,
1,1,18,16,5,86,3,92,,,,,,,,
1,7,72,2,8,57,21,266,,,,,,,,
1,38,102,0,15,72,1,43,,,,,,,,
1,1,16,2,1,39,5,160,,,,,,,,
1,6,53,14,38,105,1,51,,,,,,,,
1,36,110,10,11,48,3,94,,,,,,,,
8,5,110,4,26,97,11,131,,,,,,,,
1,13,107,2,10,53,23,316,,,,,,,,
8,3,50,2,10,55,2,68,,,,,,,,
1,22,111,21,6,122,4,89,,,,,,,,
1,11,68,8,4,42,4,128,,,,,,,,
1,10,59,4,6,52,6,106,,,,,,,,
8,18,287,3,3,25,10,138,,,,,,,,
1,11,55,12,55,193,7,121,,,,,,,,
8,7,221,20,13,60,8,95,,,,,,,,
1,11,55,6,10,63,9,133,,,,,,,,
1,2,23,2,2,28,1,41,,,,,,,,
8,3,171,12,9,46,1,59,,,,,,,,
1,21,77,1,1,28,2,40,,,,,,,,
1,14,174,2,18,82,3,85,,,,,,,,
1,15,79,1,8,65,1,53,,,,,,,,
1,14,73,5,5,71,9,100,,,,,,,,
1,33,118,5,5,40,29,258,,,,,,,,
8,8,214,1,19,80,12,210,,,,,,,,
1,7,84,0,17,78,4,60,,,,,,,,
8,1,47,8,16,77,3,72,,,,,,,,
1,5,42,7,6,47,2,66,,,,,,,,
1,28,175,5,29,109,4,267,,,,,,,,
1,41,129,27,12,105,5,168,,,,,,,,
8,11,240,3,2,36,16,218,,,,,,,,
1,5,55,12,21,198,24,287,,,,,,,,
1,35,110,0,8,54,7,81,,,,,,,,
1,19,109,5,11,52,15,174,,,,,,,,
1,4,22,17,11,62,15,257,,,,,,,,
1,6,52,5,18,100,17,445,,,,,,,,
1,9,75,16,39,126,9,129,,,,,,,,
1,19,75,7,4,47,14,264,,,,,,,,
1,27,101,24,36,164,7,252,,,,,,,,
1,14,45,8,13,86,3,107,,,,,,,,
8,17,228,5,13,98,2,99,,,,,,,,
1,16,67,11,1,26,39,462,,,,,,,,
1,21,112,4,16,68,3,185,,,,,,,,
1,7,42,2,29,98,13,238,,,,,,,,
8,2,75,5,4,31,17,331,,,,,,,,
1,13,70,1,24,103,5,182,,,,,,,,
1,13,58,8,1,19,2,88,,,,,,,,
1,10,64,1,73,199,3,201,,,,,,,,
1,17,93,9,11,90,9,182,,,,,,,,
1,14,60,16,12,52,14,292,,,,,,,,
1,6,48,7,28,111,33,183,,,,,,,,
1,29,140,0,17,64,7,225,,,,,,,,
8,11,337,3,2,30,8,154,,,,,,,,
1,17,114,1,3,37,23,219,,,,,,,,
8,9,589,13,16,58,4,51,,,,,,,,
1,17,50,11,84,184,13,149,,,,,,,,
1,27,132,0,10,63,15,229,,,,,,,,
8,4,168,3,9,38,41,301,,,,,,,,
1,18,67,6,13,99,53,460,,,,,,,,
1,3,36,4,2,20,11,155,,,,,,,,
1,18,141,18,13,58,23,133,,,,,,,,
1,7,58,2,14,89,24,253,,,,,,,,
1,5,41,6,51,178,2,123,,,,,,,,
1,8,33,6,37,167,7,168,,,,,,,,
1,13,64,1,7,45,3,118,,,,,,,,
8,5,74,24,13,65,16,143,,,,,,,,
1,14,130,2,11,73,7,220,,,,,,,,
1,32,100,2,5,48,17,235,,,,,,,,
1,1,20,15,34,139,6,119,,,,,,,,
1,5,40,0,27,89,34,371,,,,,,,,
1,40,134,5,11,50,3,166,,,,,,,,
1,13,95,15,2,31,19,121,,,,,,,,
1,1,18,3,2,57,34,284,,,,,,,,
1,24,74,8,27,82,14,145,,,,,,,,
8,5,62,7,11,64,16,148,,,,,,,,
1,44,169,2,10,100,20,282,,,,,,,,
1,11,111,2,17,106,23,312,,,,,,,,
8,3,97,1,3,20,2,87,,,,,,,,
1,16,77,22,2,20,10,295,,,,,,,,
1,1,43,14,8,72,11,228,,,,,,,,
8,12,222,4,9,50,6,193,,,,,,,,
1,5,22,10,28,99,1,112,,,,,,,,
8,13,526,4,4,113,30,293,,,,,,,,
1,8,68,3,7,49,4,94,,,,,,,,
1,7,69,5,2,18,4,176,,,,,,,,
1,39,75,3,8,54,8,160,,,,,,,,
1,6,153,3,41,147,15,215,,,,,,,,
1,24,111,9,1,22,1,66,,,,,,,,
1,9,42,14,2,56,5,92,,,,,,,,
1,4,85,5,2,14,5,173,,,,,,,,
8,10,348,12,16,106,4,101,,,,,,,,
1,5,25,11,9,65,3,169,,,,,,,,
1,1,13,3,6,83,4,54,,,,,,,,
1,7,57,4,1,29,9,194,,,,,,,,
1,19,165,6,9,52,8,101,,,,,,,,
1,6,45,1,9,50,17,192,,,,,,,,
1,34,94,4,15,91,3,68,,,,,,,,
1,2,27,27,48,170,10,253,,,,,,,,
1,20,85,0,34,148,7,99,,,,,,,,
1,3,35,12,11,75,1,75,,,,,,,,
1,3,20,1,16,80,13,178,,,,,,,,
1,7,52,0,12,73,32,425,,,,,,,,
8,3,104,2,41,132,10,160,,,,,,,,
1,9,43,0,6,43,14,132,,,,,,,,
1,33,190,17,9,42,4,259,,,,,,,,
1,10,67,3,6,38,4,85,,,,,,,,
1,23,382,19,14,75,30,281,,,,,,,,
1,17,85,4,3,49,1,50,,,,,,,,
1,1,25,5,20,62,4,73,,,,,,,,
1,3,42,2,30,101,4,156,,,,,,,,
1,4,73,18,41,143,41,401,,,,,,,,
1,39,243,2,6,66,5,90,,,,,,,,
1,32,97,9,18,139,12,272,,,,,,,,
8,9,189,5,8,51,6,122,,,,,,,,
1,25,91,6,17,116,6,67,,,,,,,,
1,55,227,12,3,32,1,42,,,,,,,,
8,1,173,10,16,67,2,48,,,,,,,,
1,101,227,11,6,36,20,453,,,,,,,,
1,77,352,1,13,69,14,159,,,,,,,,
1,15,65,43,35,122,19,264,,,,,,,,
1,5,35,8,10,59,11,165,,,,,,,,
1,5,45,14,17,62,2,100,,,,,,,,
1,4,31,1,23,107,12,165,,,,,,,,
1,7,111,12,2,33,34,374,,,,,,,,
1,24,108,18,14,144,18,211,,,,,,,,
1,1,30,0,14,68,3,34,,,,,,,,
1,17,64,30,13,46,11,230,,,,,,,,
1,9,102,4,32,169,15,165,,,,,,,,
8,12,140,11,8,57,50,375,,,,,,,,
8,1,144,3,25,80,5,74,,,,,,,,
8,1,135,7,24,80,18,235,,,,,,,,
8,2,64,9,24,136,2,56,,,,,,,,
1,11,69,17,30,130,6,91,,,,,,,,
1,9,130,9,3,27,6,111,,,,,,,,
1,29,99,1,33,127,2,66,,,,,,,,
1,18,114,6,17,141,9,161,,,,,,,,
1,2,74,22,6,66,23,384,,,,,,,,
1,20,100,0,32,125,18,150,,,,,,,,
8,24,203,13,16,79,9,88,,,,,,,,
1,13,92,1,11,88,6,102,,,,,,,,
1,25,80,38,6,36,7,138,,,,,,,,
1,2,47,3,1,15,12,203,,,,,,,,
8,11,168,3,25,109,6,372,,,,,,,,
8,6,225,5,10,52,33,270,,,,,,,,
1,19,132,1,6,46,4,164,,,,,,,,
8,6,162,6,1,11,2,149,,,,,,,,
1,8,58,0,20,89,17,162,,,,,,,,
8,2,168,16,4,39,22,288,,,,,,,,
1,8,67,6,8,63,11,117,,,,,,,,
1,32,126,2,8,52,25,224,,,,,,,,
1,8,48,5,15,58,12,215,,,,,,,,
1,2,47,1,5,59,6,94,,,,,,,,
1,25,107,5,19,68,33,196,,,,,,,,
1,4,50,23,14,67,2,90,,,,,,,,
1,10,57,8,1,47,6,145,,,,,,,,
1,5,33,6,7,60,7,129,,,,,,,,
1,17,46,4,1,13,6,122,,,,,,,,
1,25,103,7,3,48,2,74,,,,,,,,
1,5,48,2,2,51,3,132,,,,,,,,
1,9,66,14,3,48,63,483,,,,,,,,
1,6,64,16,47,313,15,319,,,,,,,,
1,17,89,3,1,17,10,263,,,,,,,,
1,2,52,7,1,19,12,239,,,,,,,,
1,6,28,6,12,83,3,63,,,,,,,,
1,1,53,2,29,115,4,97,,,,,,,,
8,1,34,4,22,66,25,276,,,,,,,,
1,16,42,11,16,53,35,472,,,,,,,,
1,21,85,3,12,50,7,92,,,,,,,,
1,17,141,2,7,36,6,167,,,,,,,,
1,20,69,0,21,54,7,176,,,,,,,,
8,2,268,3,17,91,15,252,,,,,,,,
8,4,112,7,31,107,1,44,,,,,,,,
1,16,64,4,22,88,4,47,,,,,,,,
8,8,138,1,15,54,31,280,,,,,,,,
8,3,65,2,2,28,3,43,,,,,,,,
1,32,113,9,5,42,3,49,,,,,,,,
1,17,97,0,6,77,36,243,,,,,,,,
1,25,117,5,14,72,35,421,,,,,,,,
1,14,67,20,1,29,14,195,,,,,,,,
1,26,99,9,10,52,37,272,,,,,,,,
8,9,148,9,3,30,34,276,,,,,,,,
1,19,100,5,9,64,28,273,,,,,,,,
1,13,68,6,1,18,15,172,,,,,,,,
1,26,114,0,2,33,2,41,,,,,,,,
8,1,68,18,23,118,41,330,,,,,,,,
1,4,42,17,36,103,5,71,,,,,,,,
8,11,282,8,15,57,2,44,,,,,,,,
1,33,108,7,10,141,8,204,,,,,,,,
1,12,75,9,7,38,29,255,,,,,,,,
1,10,47,1,38,99,8,124,,,,,,,,
1,15,88,2,8,44,29,276,,,,,,,,
1,57,129,1,9,110,29,317,,,,,,,,
1,28,163,5,1,38,12,188,,,,,,,,
8,8,156,2,20,71,4,102,,,,,,,,
1,15,79,2,12,44,36,427,,,,,,,,
8,2,104,17,19,63,2,63,,,,,,,,
1,17,62,17,30,95,15,110,,,,,,,,
1,17,113,8,7,108,3,108,,,,,,,,
1,21,102,11,7,34,8,110,,,,,,,,
1,5,110,3,28,79,8,190,,,,,,,,
8,2,90,20,4,58,17,135,,,,,,,,
1,7,34,1,1,104,24,256,,,,,,,,
1,3,154,2,8,41,24,201,,,,,,,,
1,19,95,0,9,46,8,161,,,,,,,,
1,38,111,25,3,22,10,164,,,,,,,,
8,1,48,6,19,100,3,79,,,,,,,,
1,6,64,6,24,89,5,208,,,,,,,,
8,32,262,3,26,138,27,297,,,,,,,,
1,6,51,25,11,80,20,249,,,,,,,,
1,28,205,2,9,88,17,386,,,,,,,,
8,7,157,1,7,96,20,193,,,,,,,,
1,36,139,5,38,100,15,169,,,,,,,,
8,3,139,0,5,48,15,239,,,,,,,,
8,3,101,2,14,96,30,313,,,,,,,,
1,40,89,9,49,163,7,99,,,,,,,,
1,37,97,7,16,59,4,109,,,,,,,,
1,30,162,4,10,81,15,224,,,,,,,,
1,7,35,0,7,44,7,240,,,,,,,,
1,9,56,16,1,44,4,139,,,,,,,,
1,37,103,19,33,126,48,436,,,,,,,,
1,22,96,21,5,43,6,73,,,,,,,,
1,12,62,1,9,41,9,96,,,,,,,,
1,43,114,12,1,12,7,109,,,,,,,,
1,50,186,2,2,42,30,287,,,,,,,,
8,49,564,8,1,35,1,59,,,,,,,,
8,3,116,7,8,72,36,436,,,,,,,,
1,4,66,26,31,90,22,305,,,,,,,,
1,10,71,5,12,38,19,343,,,,,,,,
8,4,186,1,24,135,3,133,,,,,,,,
1,12,78,1,7,37,5,104,,,,,,,,
1,15,57,10,9,51,9,158,,,,,,,,
8,28,495,2,8,33,2,52,,,,,,,,
1,32,201,21,87,293,12,141,,,,,,,,
1,3,63,6,22,82,4,81,,,,,,,,
1,10,82,13,30,171,1,71,,,,,,,,
1,18,90,4,13,51,3,54,,,,,,,,
1,7,74,1,20,90,3,102,,,,,,,,
1,12,61,7,63,162,3,111,,,,,,,,
1,19,86,12,45,127,1,65,,,,,,,,
8,11,185,1,25,120,11,191,,,,,,,,
1,25,126,8,114,247,1,190,,,,,,,,
8,12,354,11,45,114,3,148,,,,,,,,
1,1,62,22,17,126,5,177,,,,,,,,
1,17,76,3,1,46,1,266,,,,,,,,
1,20,95,9,21,69,2,84,,,,,,,,
1,15,88,6,6,28,4,81,,,,,,,,
1,6,37,6,10,68,1,79,,,,,,,,
1,29,80,8,11,145,2,43,,,,,,,,
1,9,52,8,46,150,7,196,,,,,,,,
1,19,73,15,16,56,17,326,,,,,,,,
1,20,103,11,37,144,10,196,,,,,,,,
8,9,150,10,3,43,22,367,,,,,,,,
1,22,149,8,31,89,7,136,,,,,,,,
1,8,84,1,25,65,3,111,,,,,,,,
1,3,51,10,7,56,6,133,,,,,,,,
1,50,136,3,24,94,2,115,,,,,,,,
1,7,59,2,15,79,10,205,,,,,,,,
1,20,97,4,33,124,7,117,,,,,,,,
1,16,100,9,46,148,15,138,,,,,,,,
1,5,65,23,29,94,1,75,,,,,,,,
1,1,20,7,17,56,17,222,,,,,,,,
8,11,229,13,84,302,4,112,,,,,,,,
1,12,88,1,4,75,3,62,,,,,,,,
1,5,28,1,42,93,6,100,,,,,,,,
1,17,63,10,28,189,13,290,,,,,,,,
1,1,8,8,11,90,1,55,,,,,,,,
1,7,52,2,19,76,2,71,,,,,,,,
1,5,33,7,2,17,6,70,,,,,,,,
1,8,115,12,9,59,2,106,,,,,,,,
1,12,76,7,24,73,18,407,,,,,,,,
1,4,39,7,6,47,13,175,,,,,,,,
1,13,88,5,49,155,3,97,,,,,,,,
8,4,72,5,30,99,8,97,,,,,,,,
1,17,76,4,5,100,1,67,,,,,,,,
1,14,45,6,26,90,4,85,,,,,,,,
1,4,44,12,32,138,4,55,,,,,,,,
1,8,44,1,22,175,5,110,,,,,,,,
1,7,71,26,6,30,1,124,,,,,,,,
1,13,48,5,14,45,6,92,,,,,,,,
1,43,288,12,9,58,8,99,,,,,,,,
1,24,259,1,30,122,5,159,,,,,,,,
8,10,166,9,2,27,17,326,,,,,,,,
1,15,56,2,30,140,4,203,,,,,,,,
1,3,25,1,11,42,4,121,,,,,,,,
1,13,54,15,73,136,3,126,,,,,,,,
1,20,85,6,12,91,3,145,,,,,,,,
8,9,240,3,7,59,3,65,,,,,,,,
1,2,53,3,12,58,2,65,,,,,,,,
1,14,81,26,7,24,15,212,,,,,,,,
1,13,105,1,65,180,6,234,,,,,,,,
1,21,78,18,17,59,13,188,,,,,,,,
8,6,160,5,4,37,16,270,,,,,,,,
1,18,100,10,12,57,1,104,,,,,,,,
8,2,176,11,3,34,9,136,,,,,,,,
8,5,368,2,79,239,9,171,,,,,,,,
1,12,60,8,37,153,1,53,,,,,,,,
1,23,108,15,40,140,6,204,,,,,,,,
1,7,49,9,8,24,20,257,,,,,,,,
1,9,57,22,11,74,2,67,,,,,,,,
8,1,172,4,96,226,6,80,,,,,,,,
1,12,79,2,8,62,6,133,,,,,,,,
1,5,47,12,11,37,3,145,,,,,,,,
1,11,44,5,3,29,1,114,,,,,,,,
1,5,100,12,11,47,7,122,,,,,,,,
1,15,57,18,16,42,1,95,,,,,,,,
1,52,185,9,20,103,5,127,,,,,,,,
1,13,59,0,20,106,4,113,,,,,,,,
1,4,39,16,8,64,2,189,,,,,,,,
8,5,188,5,9,34,8,93,,,,,,,,
1,19,159,9,12,69,7,84,,,,,,,,
1,22,110,0,31,111,3,104,,,,,,,,
1,6,67,9,17,82,7,112,,,,,,,,
1,69,146,6,3,52,5,180,,,,,,,,
8,13,304,2,74,168,16,148,,,,,,,,
1,69,135,0,23,103,3,83,,,,,,,,
8,14,278,12,7,43,2,102,,,,,,,,
1,7,43,2,3,64,7,207,,,,,,,,
1,10,80,36,13,53,23,178,,,,,,,,
1,3,34,5,23,66,4,109,,,,,,,,
1,16,71,8,59,148,22,288,,,,,,,,
8,16,141,21,9,70,3,68,,,,,,,,
1,22,121,9,84,159,7,146,,,,,,,,
1,76,283,1,28,103,7,158,,,,,,,,
1,7,63,32,3,45,4,144,,,,,,,,
1,5,38,3,20,108,1,71,,,,,,,,
1,12,72,4,20,87,9,211,,,,,,,,
1,26,137,2,34,148,5,132,,,,,,,,
1,33,126,3,4,53,1,74,,,,,,,,
1,15,90,19,19,77,3,142,,,,,,,,
1,17,130,0,109,291,8,130,,,,,,,,
8,38,491,7,3,37,1,75,,,,,,,,
1,25,85,37,45,154,4,202,,,,,,,,
1,52,206,2,73,193,5,143,,,,,,,,
8,19,264,1,54,100,2,55,,,,,,,,
8,6,75,1,15,79,7,170,,,,,,,,
1,10,60,23,8,52,11,189,,,,,,,,
1,12,80,21,29,149,10,228,,,,,,,,
1,50,134,12,35,64,2,214,,,,,,,,
1,10,92,4,20,77,3,91,,,,,,,,
1,7,70,5,7,39,18,233,,,,,,,,
1,11,85,8,10,39,5,88,,,,,,,,
8,6,178,1,6,48,2,93,,,,,,,,
8,21,367,8,16,54,6,92,,,,,,,,
1,19,74,15,26,66,9,139,,,,,,,,
8,2,84,6,5,85,5,110,,,,,,,,
1,39,151,27,33,119,13,218,,,,,,,,
1,43,111,18,2,39,16,124,,,,,,,,
1,19,123,2,8,39,8,185,,,,,,,,
1,43,149,6,61,125,29,176,,,,,,,,
1,11,56,15,17,96,8,194,,,,,,,,
1,2,28,7,7,32,4,104,,,,,,,,
1,16,89,3,8,54,9,316,,,,,,,,
8,6,238,18,5,55,9,264,,,,,,,,
1,37,117,3,19,124,6,124,,,,,,,,
1,3,24,10,32,141,29,274,,,,,,,,
1,5,78,14,10,61,7,103,,,,,,,,
1,25,84,15,12,60,31,375,,,,,,,,
1,19,91,10,41,128,10,255,,,,,,,,
8,11,450,3,39,140,5,245,,,,,,,,
1,17,89,8,28,84,6,198,,,,,,,,
8,2,169,5,26,124,1,34,,,,,,,,
1,58,197,4,40,117,1,188,,,,,,,,
1,18,75,19,75,218,2,173,,,,,,,,
1,6,61,9,10,43,9,79,,,,,,,,
1,70,178,11,3,38,43,397,,,,,,,,
1,23,106,6,3,38,1,69,,,,,,,,
1,14,65,16,6,58,17,248,,,,,,,,
1,5,72,11,17,85,10,246,,,,,,,,
1,24,101,3,3,59,3,194,,,,,,,,
1,29,86,5,4,28,4,133,,,,,,,,
1,10,66,30,18,67,14,192,,,,,,,,
1,17,108,23,22,70,1,81,,,,,,,,
1,3,38,12,1,17,4,216,,,,,,,,
1,7,44,1,17,88,11,212,,,,,,,,
1,16,71,2,7,49,5,175,,,,,,,,
8,2,96,12,13,62,26,364,,,,,,,,
8,34,481,1,44,118,25,262,,,,,,,,
1,1,30,9,40,240,3,120,,,,,,,,
8,2,97,1,16,44,9,233,,,,,,,,
1,3,35,1,7,53,1,77,,,,,,,,
8,4,94,1,40,146,2,64,,,,,,,,
1,8,56,16,5,47,5,79,,,,,,,,
1,6,99,2,61,157,2,62,,,,,,,,
1,10,84,2,1,27,1,65,,,,,,,,
1,22,115,13,4,33,1,243,,,,,,,,
1,54,157,0,42,101,6,103,,,,,,,,
1,11,88,11,32,63,1,63,,,,,,,,
1,9,70,1,41,165,4,109,,,,,,,,
1,20,231,11,14,70,5,272,,,,,,,,
