WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
1,21,108,7,22,72,3,110,,,,,,,,
1,5,28,9,9,50,14,160,,,,,,,,
8,7,103,16,6,42,6,131,,,,,,,,
1,24,78,3,11,68,5,176,,,,,,,,
1,6,36,20,10,66,7,202,,,,,,,,
1,6,42,2,14,58,39,336,,,,,,,,
8,8,155,6,3,26,1,63,,,,,,,,
8,4,70,8,1,25,5,218,,,,,,,,
1,10,63,5,6,31,3,104,,,,,,,,
1,13,61,21,7,44,10,231,,,,,,,,
1,15,54,1,5,105,13,420,,,,,,,,
1,4,88,10,3,22,11,139,,,,,,,,
1,7,45,2,8,58,11,310,,,,,,,,
1,20,79,9,33,113,5,124,,,,,,,,
8,4,172,14,2,47,32,341,,,,,,,,
8,19,193,1,1,14,11,226,,,,,,,,
1,21,89,3,26,83,19,179,,,,,,,,
1,4,38,14,14,75,1,47,,,,,,,,
1,1,18,2,37,109,19,268,,,,,,,,
1,16,92,10,20,72,4,91,,,,,,,,
1,18,62,6,3,48,2,206,,,,,,,,
1,3,41,6,15,104,5,91,,,,,,,,
1,5,55,4,7,42,12,140,,,,,,,,
8,9,203,7,10,100,9,242,,,,,,,,
1,2,22,3,6,117,15,201,,,,,,,,
1,8,296,19,47,165,9,221,,,,,,,,
1,30,128,2,8,46,9,120,,,,,,,,
1,11,47,2,20,95,4,229,,,,,,,,
8,4,109,11,13,78,21,236,,,,,,,,
1,9,70,2,13,58,39,421,,,,,,,,
1,22,97,5,6,46,4,86,,,,,,,,
1,3,22,15,5,36,3,103,,,,,,,,
1,17,66,7,13,52,6,158,,,,,,,,
1,4,32,5,3,38,25,218,,,,,,,,
1,47,143,8,7,84,17,321,,,,,,,,
1,22,72,19,1,19,21,220,,,,,,,,
1,9,50,7,6,43,4,78,,,,,,,,
8,4,77,2,56,150,1,83,,,,,,,,
1,6,42,18,8,48,11,193,,,,,,,,
1,11,68,10,18,68,2,69,,,,,,,,
8,9,153,1,3,24,4,116,,,,,,,,
1,10,66,4,22,79,4,62,,,,,,,,
8,16,158,8,3,39,5,124,,,,,,,,
1,14,58,1,6,41,8,92,,,,,,,,
1,3,26,1,4,43,5,105,,,,,,,,
1,1,25,1,3,34,2,47,,,,,,,,
1,6,31,10,15,62,2,121,,,,,,,,
8,22,362,14,14,77,5,62,,,,,,,,
1,7,44,0,55,116,9,164,,,,,,,,
1,5,105,7,11,59,5,117,,,,,,,,
1,3,22,0,12,70,7,193,,,,,,,,
8,13,170,11,24,113,39,587,,,,,,,,
1,8,58,3,27,136,5,130,,,,,,,,
8,22,341,6,28,95,3,135,,,,,,,,
1,33,113,2,3,38,12,243,,,,,,,,
1,2,47,2,5,61,9,136,,,,,,,,
1,1,14,8,19,67,6,435,,,,,,,,
1,26,83,5,25,121,4,153,,,,,,,,
1,14,75,1,12,85,12,318,,,,,,,,
1,37,109,31,51,187,10,151,,,,,,,,
1,20,72,0,32,100,5,100,,,,,,,,
1,3,48,29,33,102,13,192,,,,,,,,
