Morning Times Between Arrivals
9
181
83
39
12
17
14
8
83
1
22
0
44
15
49
21
49
12
32
9
33
14
16
57
37
44
47
99
37
1
13
8
13
1
35
26
21
41
0
11
8
29
5
11
68
19
9
16
37
16
37
6
35
8
20
18
3
18
13
23
2
34
8
26
0
0
19
18
2
9
2
8
9
29
25
7
7
21
26
12
18
2
8
32
5
1
21
9
5
16
24
6
2
17
32
8
1
44
9
30
0
5
23
26
5
43
13
5
12
1
20
11
23
1
6
38
0
10
32
2
3
7
11
5
1
9
9
34
33
13
9
16
20
51
4
0
3
24
13
20
5
5
42
42
19
34
7
10
1
16
18
1
12
55
3
12
7
27
10
8
18
12
41
0
10
20
1
26
6
23
30
5
15
1
21
26
11
1
14
31
14
3
30
1
29
5
7
18
43
8
16
5
30
30
19
22
1
3
1
3
47
2
32
2
2
2
16
42
11
2
10
1
6
28
10
28
15
11
2
26
8
8
27
4
8
14
4
25
25
2
23
5
7
9
16
5
2
4
15
16
0
4
1
17
24
3
9
17
8
5
11
15
20
6
9
24
12
10
19
6
4
1
6
15
8
3
24
9
6
4
38
6
1
13
1
3
34
3
18
1
11
5
0
24
11
6
6
23
6
0
11
4
10
20
2
10
11
18
20
2
1
26
2
3
6
36
16
7
19
1
9
8
16
8
22
14
19
14
3
2
2
24
5
19
33
21
33
5
24
37
10
4
17
8
12
2
12
7
22
39
14
1
13
2
6
41
10
4
0
24
15
13
57
4
27
1
59
4
14
12
22
26
8
3
20
14
6
14
8
5
3
20
2
18
25
3
6
13
7
40
2
13
4
2
15
8
18
24
15
11
23
0
13
10
20
10
1
2
18
0
5
16
10
8
21
3
12
26
17
13
11
1
4
8
16
11
1
18
17
34
3
11
16
0
5
15
8
30
3
43
41
7
2
24
11
36
3
17
40
17
20
9
4
36
3
23
16
7
3
25
1
0
25
26
4
7
5
14
7
2
4
12
74
2
12
0
29
5
41
42
65
11
16
38
2
19
10
27
42
83
9
15
44
9
47
17
24
9
19
20
3
17
41
95
9
30
5
41
2
1
38
1
31
46
16
4
16
26
7
5
41
1
50
4
3
28
5
49
11
15
40
1
7
1
16
2
20
17
10
23
4
10
22
20
25
12
4
30
1
27
47
2
14
11
36
23
6
8
49
21
23
4
62
0
12
39
54
2
32
0
3
24
21
45
16
20
18
2
49
49
4
12
16
18
26
20
5
6
26
32
36
20
11
2
10
38
13
17
7
16
21
13
3
24
9
56
45
11
2
13
8
17
23
15
36
14
47
3
7
15
22
1
29
43
1
23
23
14
9
12
56
44
8
1
49
49
6
12
20
11
65
4
3
44
39
5
17
36
20
24
20
14
7
46
54
19
26
8
25
65
15
5
32
10
5
20
41
3
10
29
26
22
3
10
26
24
8
3
7
17
20
5
18
15
21
14
9
88
8
9
25
6
2
29
17
25
4
2
25
48
1
15
20
1
2
35
28
10
8
10
19
9
17
13
19
3
52
5
3
22
13
51
20
25
8
21
7
30
22
38
4
1
5
39
1
40
2
20
22
39
5
20
19
17
8
53
7
4
44
11
1
10
25
22
10
1
0
30
6
0
5
26
25
8
29
14
12
4
0
45
30
11
17
23
31
11
5
35
51
19
37
5
41
10
1
36
16
29
44
0
4
10
28
17
17
6
22
2
11
21
35
18
50
3
26
2
5
12
21
6
19
24
2
17
18
9
13
7
23
11
2
22
11
16
17
10
47
5
33
9
34
11
31
1
26
2
14
12
34
10
11
2
4
11
7
34
101
153
39
73
9
106
70
30
0
14
44
22
72
69
32
34
15
12
29
19
14
23
54
23
6
22
23
17
23
31
17
29
58
5
13
1
19
32
12
8
5
2
17
18
4
3
32
14
29
7
9
35
6
53
31
8
2
11
7
28
7
18
5
60
2
8
10
13
6
3
7
25
13
25
5
0
7
4
6
2
6
36
1
23
11
7
2
5
8
11
20
17
2
1
17
8
4
26
9
6
7
15
20
1
4
13
6
33
8
2
9
8
5
42
3
36
5
2
13
10
26
18
47
12
39
6
1
23
19
5
8
19
15
6
31
15
17
15
18
9
6
1
50
27
10
13
20
29
13
4
37
17
6
1
9
11
33
12
4
15
6
3
3
50
7
55
2
2
10
6
28
2
68
8
1
23
28
25
12
20
29
8
7
6
41
3
3
22
8
21
2
0
54
1
19
4
27
28
4
26
4
33
2
18
0
3
11
4
17
13
21
15
26
22
5
4
18
1
12
43
34
11
5
14
19
3
32
2
30
14
11
3
20
4
13
11
15
19
25
1
18
12
8
25
43
5
18
44
1
2
27
1
5
43
3
3
31
1
2
30
11
21
36
24
1
27
10
0
22
15
2
50
4
9
7
9
52
0
20
8
0
2
12
23
20
15
12
12
13
1
3
11
31
5
9
2
27
8
7
6
24
6
2
5
32
2
7
11
22
9
3
1
24
15
2
8
4
6
15
38
32
3
0
16
1
25
16
13
4
19
21
7
3
12
30
12
6
25
