WorkstationGroupID,Number of Items,Service Time,Time between arrivals,,Evening Times Between Arrivals
1,20,65,2,,
1,11,75,5,,
1,5,63,4,,
1,21,145,14,,
8,1,102,6,,
1,24,89,2,,
1,8,54,6,,
1,2,60,1,,
1,28,114,6,,
1,25,127,1,,
1,33,112,2,,
8,11,188,6,,
8,5,102,1,,
8,5,88,9,,
1,11,48,5,,
1,23,77,7,,
1,3,78,10,,
1,7,78,10,,
1,4,45,2,,
1,15,111,14,,
1,21,82,7,,
1,16,127,7,,
8,7,161,15,,
1,15,87,2,,
8,9,195,3,,
1,19,77,7,,
1,7,57,1,,
1,4,48,1,,
1,12,68,1,,
8,4,108,2,,
1,16,71,6,,
1,33,172,8,,
1,33,122,22,,
1,10,52,8,,
1,4,44,7,,
1,2,21,1,,
1,16,59,13,,
1,2,28,0,,
1,2,14,5,,
1,14,112,1,,
1,13,82,1,,
1,9,47,1,,
8,2,89,5,,
8,2,135,1,,
1,6,44,9,,
1,23,145,0,,
1,7,55,0,,
1,11,37,5,,
1,7,38,13,,
8,4,52,5,,
1,15,141,8,,
1,23,100,4,,
1,6,36,2,,
1,17,120,4,,
8,4,131,2,,
1,24,165,5,,
1,40,123,7,,
1,26,128,10,,
1,3,25,5,,
8,6,377,1,,
1,64,202,3,,
8,2,93,16,,
1,4,42,0,,
1,3,15,2,,
8,4,121,2,,
1,1,39,11,,
1,2,24,20,,
8,8,219,4,,
1,4,37,2,,
1,50,106,1,,
1,1,23,1,,
1,11,75,12,,
1,43,113,10,,
1,20,152,2,,
1,19,79,7,,
1,45,130,2,,
1,3,36,1,,
8,6,138,4,,
1,25,87,1,,
8,20,285,11,,
1,1,18,18,,
1,22,91,1,,
1,16,112,6,,
1,7,28,0,,
1,18,77,5,,
8,8,123,23,,
1,8,92,0,,
1,8,44,1,,
1,20,80,21,,
1,4,33,0,,
1,5,54,15,,
1,13,93,7,,
1,14,74,5,,
1,20,68,6,,
1,8,45,1,,
1,5,35,2,,
1,19,63,11,,
8,15,126,2,,
1,79,252,5,,
1,68,219,2,,
1,4,44,3,,
1,18,97,10,,
1,13,63,1,,
1,10,50,8,,
1,11,78,0,,
8,3,56,8,,
8,15,196,9,,
1,2,32,1,,
1,10,52,3,,
1,28,111,1,,
1,1,14,8,,
1,15,85,6,,
1,41,152,6,,
1,9,49,7,,
1,15,116,5,,
1,9,108,2,,
8,5,155,14,,
1,12,182,8,,
1,30,96,0,,
1,10,39,13,,
1,20,106,4,,
8,8,418,16,,
8,1,78,4,,
1,17,65,2,,
1,10,38,4,,
8,5,384,11,,
1,11,125,23,,
1,9,77,7,,
1,4,115,3,,
1,1,14,9,,
1,6,100,5,,
1,18,113,1,,
1,23,91,8,,
1,12,46,1,,
8,2,40,6,,
1,10,46,2,,
1,4,39,7,,
8,3,255,7,,
8,4,187,12,,
1,4,73,6,,
8,8,126,3,,
1,5,62,2,,
1,6,41,2,,
1,9,58,5,,
1,11,54,11,,
1,35,86,5,,
1,32,128,14,,
1,4,46,3,,
1,14,56,1,,
1,4,62,2,,
1,39,143,15,,
1,25,84,2,,
1,40,158,0,,
1,9,63,1,,
1,23,96,1,,
1,8,79,21,,
1,9,57,13,,
1,12,63,7,,
1,13,66,1,,
1,21,98,17,,
8,34,461,2,,
1,19,63,17,,
1,21,79,1,,
1,9,60,1,,
1,5,30,9,,
1,10,69,6,,
1,6,55,2,,
1,7,68,5,,
8,1,102,5,,
1,33,82,17,,
1,13,122,0,,
1,20,98,15,,
1,16,157,1,,
1,20,100,10,,
1,2,49,6,,
1,5,59,1,,
1,30,101,1,,
1,30,88,5,,
8,2,84,2,,
1,15,100,24,,
1,23,88,10,,
1,23,137,5,,
8,24,424,5,,
8,11,340,6,,
1,4,24,2,,
8,8,182,5,,
1,23,135,17,,
1,5,40,1,,
1,37,103,6,,
1,7,64,0,,
1,45,132,0,,
1,22,95,1,,
8,3,57,11,,
1,11,103,7,,
1,4,72,12,,
1,22,121,2,,
1,8,71,17,,
1,28,209,8,,
8,1,52,6,,
1,7,63,26,,
1,6,60,1,,
1,11,141,4,,
1,51,298,2,,
1,12,60,7,,
1,18,76,6,,
8,9,122,1,,
1,24,116,4,,
1,12,80,12,,
1,3,54,5,,
1,3,32,18,,
1,16,102,2,,
1,2,32,1,,
8,23,281,4,,
1,9,45,7,,
1,2,40,16,,
1,6,72,1,,
1,16,60,3,,
1,10,39,11,,
1,5,66,7,,
1,9,56,2,,
1,22,163,23,,
1,22,116,5,,
1,25,123,0,,
8,22,231,9,,
1,22,107,11,,
1,34,142,0,,
1,2,31,6,,
1,11,51,1,,
1,12,90,2,,
1,108,262,13,,
8,20,435,9,,
1,9,50,20,,
8,14,226,6,,
1,11,68,24,,
1,5,75,10,,
1,16,72,5,,
1,16,71,1,,
1,7,79,6,,
1,22,68,22,,
1,9,62,5,,
8,7,82,11,,
1,9,72,1,,
1,44,139,14,,
1,7,59,7,,
1,10,44,4,,
1,9,55,4,,
1,27,113,5,,
1,5,75,6,,
8,1,72,5,,
1,7,69,20,,
1,21,77,4,,
8,9,131,1,,
8,3,81,1,,
1,37,173,2,,
1,14,69,7,,
1,14,44,29,,
1,18,77,3,,
8,22,310,2,,
1,24,102,10,,
1,8,70,5,,
1,16,61,6,,
8,7,116,4,,
1,5,27,3,,
1,3,63,0,,
1,24,122,0,,
1,2,42,9,,
8,6,85,15,,
1,11,91,18,,
1,14,177,2,,
1,22,108,4,,
1,2,25,4,,
1,12,89,6,,
8,3,109,5,,
1,50,183,10,,
1,41,137,1,,
1,5,32,20,,
8,1,106,8,,
1,15,104,4,,
1,20,114,3,,
8,15,211,6,,
1,19,66,7,,
1,33,126,19,,
1,53,187,11,,
1,20,151,15,,
8,6,255,6,,
8,3,94,8,,
1,6,52,19,,
8,4,108,6,,
1,32,102,4,,
1,19,81,9,,
1,5,55,1,,
1,15,81,13,,
1,32,90,13,,
1,10,65,2,,
1,5,74,19,,
8,3,90,7,,
1,11,87,6,,
8,12,233,11,,
1,5,24,10,,
1,8,52,2,,
1,8,37,5,,
1,14,95,0,,
8,5,68,3,,
1,6,68,4,,
1,19,126,5,,
8,15,173,2,,
1,15,223,1,,
1,4,27,5,,
