Evening Times Between Arrivals
37
8
12
20
40
17
0
19
53
19
19
7
8
11
5
0
24
21
14
4
1
9
0
17
7
4
22
4
22
2
0
28
1
37
2
10
9
0
22
3
4
35
2
25
15
23
25
1
29
3
44
17
3
10
3
58
5
10
16
18
4
20
13
24
12
5
14
79
17
2
17
8
1
4
22
44
3
4
7
7
2
21
4
26
11
38
14
5
29
12
29
3
14
1
2
6
53
4
2
11
15
8
34
31
26
7
32
15
11
43
11
30
15
7
9
15
15
3
7
21
11
22
2
1
15
27
1
19
60
4
38
1
5
37
14
16
29
9
2
2
11
14
0
15
14
2
27
13
9
3
3
6
4
29
8
23
16
29
18
14
26
32
2
9
6
1
17
3
5
30
24
20
9
13
6
27
8
7
15
13
33
1
1
8
10
28
1
11
2
2
12
18
14
11
14
27
17
20
8
7
14
1
41
4
1
5
4
8
8
6
10
13
8
13
8
1
3
50
8
26
3
18
1
2
24
9
6
5
0
14
7
22
8
21
3
36
1
53
6
3
9
13
0
4
4
5
10
29
5
12
6
12
8
4
51
2
12
10
3
4
41
25
8
14
28
34
15
22
0
0
5
12
10
12
4
31
1
18
18
2
9
12
0
43
2
9
4
6
57
31
18
5
15
40
39
5
27
20
20
5
19
29
21
8
22
25
37
28
10
12
18
4
10
49
4
24
2
2
67
20
7
18
4
1
8
14
18
10
0
21
12
12
9
32
12
3
3
7
41
41
11
8
3
34
0
8
28
4
6
17
6
15
14
15
10
4
4
8
27
15
4
16
20
15
34
8
26
18
2
12
29
18
1
19
4
28
14
59
17
1
38
12
18
33
11
0
58
21
10
32
8
26
8
40
13
5
28
26
10
14
10
3
19
18
13
12
3
39
0
10
25
3
10
9
12
16
13
22
19
12
39
0
10
4
2
16
8
16
12
20
22
2
56
15
1
5
37
2
3
0
13
21
1
40
17
5
9
11
14
2
8
29
29
18
61
7
14
11
14
16
38
20
25
41
7
2
44
36
5
23
26
8
65
34
90
62
22
30
10
4
0
11
15
15
4
10
25
5
16
0
2
18
79
4
4
6
4
6
10
7
1
1
11
17
19
8
22
12
22
4
13
3
19
3
3
2
16
7
2
5
9
24
7
11
23
2
16
20
19
23
56
13
5
27
38
3
31
17
8
19
20
7
8
8
10
49
9
2
4
23
3
39
41
8
5
3
3
13
4
22
16
10
17
9
14
9
31
7
15
8
15
48
9
33
5
1
19
10
7
3
68
19
2
30
20
11
18
10
2
23
1
4
16
20
32
2
9
36
9
7
2
10
7
1
17
10
13
32
25
16
5
1
0
33
3
5
5
1
2
3
1
18
25
12
7
2
12
1
10
16
17
55
4
10
4
10
27
2
5
7
2
18
7
6
17
4
1
41
9
27
26
14
4
6
10
7
25
11
10
3
1
13
32
12
3
20
33
41
5
6
17
11
13
4
1
6
7
22
1
10
1
14
9
17
42
27
2
6
0
7
21
14
11
2
7
5
6
11
6
10
6
18
24
24
4
15
13
1
22
8
4
22
18
8
20
17
6
31
20
22
4
11
3
26
9
2
38
3
27
20
7
25
15
27
37
21
6
6
15
2
18
9
7
25
24
8
5
19
31
24
14
5
12
2
46
9
23
0
8
15
4
35
5
5
22
9
31
2
6
13
15
7
3
46
3
1
9
11
10
41
15
18
3
25
8
9
11
7
7
9
7
6
15
20
14
27
5
11
42
12
16
0
3
3
10
35
3
13
28
25
24
9
40
24
18
35
5
4
11
16
23
0
0
1
2
19
12
33
54
10
6
0
29
17
4
1
7
39
1
13
0
13
7
7
7
14
3
11
21
13
3
47
3
33
20
23
3
8
12
34
11
8
8
22
30
23
0
1
26
28
24
6
16
3
17
10
24
27
8
37
12
8
17
0
4
12
2
56
17
5
29
6
23
16
2
12
29
1
12
10
14
13
31
34
1
10
1
6
65
50
13
28
36
9
9
4
20
20
7
3
20
28
4
14
1
20
23
32
7
15
18
34
20
1
11
4
54
4
8
19
3
16
9
9
0
19
2
54
7
8
6
4
6
11
35
24
10
7
23
1
64
30
85
87
10
78
14
37
6
17
43
13
3
1
28
14
1
9
10
8
1
25
19
31
13
4
25
24
5
7
4
1
43
8
5
18
7
36
6
11
4
31
4
5
5
21
4
23
15
26
2
53
8
0
4
3
5
19
39
4
6
31
6
11
6
1
13
9
24
10
3
9
8
2
11
50
2
65
14
37
16
9
47
11
14
24
2
4
24
9
48
1
9
4
10
2
15
25
11
36
3
14
8
1
2
11
1
3
15
3
78
1
11
29
1
20
24
6
44
13
2
20
9
13
11
10
7
24
10
11
5
9
19
2
22
18
21
27
17
11
6
4
7
16
20
6
4
9
4
35
23
6
49
9
5
27
47
59
4
2
50
41
1
3
7
15
2
19
2
7
18
26
10
15
77
1
6
17
17
3
36
20
6
47
18
38
24
2
23
52
7
19
5
25
4
36
3
4
4
29
1
22
0
3
23
21
38
42
63
20
2
29
32
17
24
17
2
1
25
14
24
21
10
27
9
2
3
23
15
20
25
41
4
35
20
52
8
15
5
2
6
22
35
3
26
5
20
1
31
20
28
10
19
19
6
5
0
5
19
31
9
15
30
24
2
21
14
8
4
27
25
12
58
3
4
7
26
18
5
40
1
0
9
7
19
7
13
26
31
27
8
27
45
17
13
11
8
40
41
7
15
20
0
38
16
41
19
15
30
14
16
1
7
55
22
41
43
30
39
11
45
1
53
35
50
12
69
2
3
60
4
20
51
29
42
9
2
35
28
21
7
44
13
10
1
47
15
3
5
71
6
7
15
6
1
21
24
36
15
8
2
5
24
3
3
27
18
22
20
30
13
12
32
20
22
7
15
21
24
4
19
11
73
8
35
18
8
56
27
0
0
12
33
1
5
56
22
0
21
30
14
15
0
74
9
7
37
19
38
1
14
28
9
42
17
32
14
8
4
47
5
42
3
28
15
11
6
44
9
10
10
8
31
58
25
32
60
3
2
78
13
51
46
10
53
21
15
0
36
22
15
8
14
13
27
9
18
5
20
11
5
18
14
1
25
1
29
14
23
12
1
82
2
39
7
25
2
10
43
6
29
23
13
9
49
6
1
35
35
29
14
19
0
19
11
18
1
8
13
31
64
5
36
51
19
15
34
8
40
16
17
34
23
15
2
0
20
16
43
18
15
17
8
14
2
37
12
1
13
13
39
34
33
26
34
6
15
25
14
3
37
6
4
12
14
32
2
19
0
59
2
22
42
12
9
29
3
17
45
7
2
39
5
6
50
51
10
55
5
15
32
10
42
4
28
45
4
12
6
3
45
28
14
22
29
17
26
7
10
17
85
41
0
52
20
7
11
40
11
29
15
21
44
24
8
1
21
28
0
8
11
5
26
39
14
14
14
87
16
32
35
55
68
11
18
130
123
108
1
16
44
62
2
22
47
29
28
51
49
8
35
21
41
39
6
14
35
31
62
37
57
62
8
25
6
31
32
36
22
2
5
63
39
37
18
39
4
59
36
24
46
15
0
11
41
55
13
33
41
2
10
30
7
54
8
20
27
8
22
3
6
45
26
17
25
27
40
94
30
52
35
24
45
35
95
3
27
4
3
9
31
40
0
22
7
2
11
24
8
15
13
1
10
12
14
17
2
11
11
24
22
1
1
14
15
1
16
20
7
57
15
7
3
18
24
11
9
6
32
31
19
5
4
8
6
36
8
9
23
2
3
45
1
15
9
12
25
3
20
17
18
6
17
17
1
12
20
24
22
6
34
15
3
23
3
7
42
0
1
18
24
24
9
8
44
14
25
6
4
17
14
7
7
39
7
26
36
11
5
41
7
18
27
10
26
11
14
10
40
9
30
12
3
25
8
7
7
51
24
15
2
19
19
38
18
14
6
20
6
34
35
10
9
64
24
3
3
20
15
5
18
1
14
13
6
47
5
19
3
57
5
34
2
14
28
4
18
22
3
20
10
7
1
1
46
9
22
10
35
32
23
4
36
2
19
8
19
23
5
6
13
25
46
3
3
23
30
16
15
6
1
34
3
34
3
14
4
6
22
2
9
14
18
11
30
21
26
2
14
7
2
17
0
49
20
4
19
49
22
1
10
4
4
5
1
31
10
22
16
1
10
4
11
47
9
45
28
2
0
15
11
38
13
12
10
15
36
8
1
61
20
10
2
61
32
18
26
11
20
41
18
0
9
3
54
26
12
15
13
20
0
26
31
6
17
4
37
2
3
12
33
6
19
13
25
4
4
16
2
13
6
40
14
1
72
4
41
19
33
56
6
20
29
4
31
13
63
8
37
7
28
5
1
35
39
40
10
0
37
9
13
46
14
28
14
13
19
14
21
11
11
31
15
5
46
30
8
21
36
17
8
8
9
10
10
11
7
49
5
23
18
2
32
30
26
10
24
15
3
21
15
21
24
36
4
1
7
22
33
7
22
17
2
20
4
22
6
24
8
13
1
36
2
1
25
38
16
15
1
25
18
34
15
34
29
7
16
19
45
24
32
56
13
148
1
45
42
5
8
4
31
30
9
17
12
9
25
6
4
19
20
14
1
14
12
1
8
21
4
30
0
29
13
1
3
6
57
3
4
9
13
11
10
1
0
10
36
3
36
0
9
2
43
6
24
6
4
14
31
1
4
17
3
30
5
6
11
29
17
3
29
0
39
8
14
40
1
21
3
14
17
8
4
9
11
23
1
0
1
21
9
2
1
12
6
17
22
